10
54
1,2,1274,878
1,3,1667,557
1,4,1371,939
1,5,1462,529
1,6,1612,438
1,7,1945,293
1,8,1955,566
1,9,1454,703
1,10,1228,903
2,3,1813,719
2,4,1454,340
2,5,1213,311
2,6,1361,347
2,7,1310,229
2,8,1991,731
2,9,1674,864
2,10,1645,379
3,4,1082,286
3,5,1217,433
3,6,1595,599
3,7,1170,790
3,8,1895,700
3,9,1077,581
3,10,1927,766
4,1,1257,922
4,5,1596,903
4,6,1811,727
4,7,1490,916
4,8,1001,135
4,9,1542,420
4,10,1409,514
5,4,1633,645
5,6,1573,995
5,7,1137,90
5,8,1150,967
5,9,1613,334
5,10,1948,512
6,1,1407,735
6,5,1610,804
6,7,1226,57
6,8,1070,510
6,9,1944,656
6,10,1021,763
7,8,1975,733
7,9,1565,237
7,10,1507,978
8,5,1180,330
8,7,1839,286
8,9,1156,680
8,10,1478,308
9,4,1170,144
9,7,1185,371
9,10,1366,168
10,7,1782,737
9,10,3,6,4,2
30
9,10,11
9,3,8
9,6,9
9,4,11
9,2,30
10,9,29
10,3,44
10,6,26
10,4,45
10,2,14
3,9,2
3,10,48
3,6,2
3,4,1
3,2,29
6,9,40
6,10,27
6,3,6
6,4,17
6,2,33
4,9,30
4,10,47
4,3,25
4,6,1
4,2,33
2,9,21
2,10,34
2,3,43
2,6,20
2,4,24
